court_number,county_name,minimum_expected,number_below_5,percent_below_5,expected_total,observed_total,totals_difference
981,Worth,6.713333333333333,0,0,915.4200000000001,915,-0.42000000000007276
721,Osceola,6.517868852459016,0,0,1326.49868852459,1328,1.5013114754099206
921,Washington,6.492398386596339,0,0,1541.8399007136209,1515,-26.839900713620864
381,Grundy,6.35812338501292,0,0,1088.5823643410852,1094,5.417635658914833
061,Benton,5.88734255947753,0,0,1710.9575882444408,1731,20.042411755559215
391,Guthrie,5.815868263473054,0,0,1004.4973802395209,1011,6.502619760479092
451,Howard,5.791635786130228,0,0,989.6189518263632,1000,10.381048173636827
961,Winneshiek,5.363860514265586,0,0,1285.1412469179288,1302,16.85875308207119
601,Lyon,4.928630159513238,1,25,1369.8153264265745,1367,-2.8153264265745293
271,Decatur,4.854749323366414,1,25,495.18443098337406,507,11.815569016625943
481,Iowa,4.838311019567456,2,50,1428.4665293511844,1446,17.533470648815637
671,Monona,4.761014374196565,1,25,1867.6779245062523,1910,42.32207549374766
051,Audubon,4.7065547419181994,2,50,949.8524736560103,966,16.14752634398974
211,Clay,4.614543466375069,1,25,1637.65020351133,1642,4.349796488670108
681,Monroe,4.611074138160522,1,25,697.871955277519,702,4.128044722481036
321,Emmet,4.5294752753185055,1,25,1276.60429712805,1263,-13.604297128049893
411,Hancock,4.412707337644081,1,25,960.2235029519258,957,-3.2235029519257523
191,Chickasaw,4.395697467603964,1,25,1018.8347590412468,1020,1.165240958753202
361,Fremont,4.048203868590727,1,25,1680.8142462388703,1723,42.18575376112972
011,Adair,3.929624664879357,1,25,702.8277479892762,707,4.17225201072381
221,Clayton,3.770763533768295,1,25,955.6028919061896,958,2.3971080938104024
811,Sac,3.7676746826297864,1,25,727.2381050676023,729,1.761894932397695
831,Shelby,3.7131940906775345,1,25,1150.3876719307184,1153,2.6123280692816024
541,Keokuk,3.7045546150745667,2,50,1378.5217654171709,1395,16.478234582829145
181,Cherokee,3.573448275862069,1,25,926.2710344827585,943,16.728965517241477
141,Carroll,3.512964941245022,1,25,1143.2685248130524,1168,24.73147518694759
991,Wright,3.4893284340551953,1,25,772.3254632163239,753,-19.325463216323897
471,Ida,3.361308059615107,1,25,980.7712342642166,990,9.22876573578344
461,Humboldt,3.1129183609634032,1,25,917.7272442915232,908,-9.72724429152322
661,Mitchell,3.008983451536643,1,25,850.0784869976359,850,-0.07848699763587774
131,Calhoun,2.311435274915842,1,25,558.1227175354483,569,10.87728246455174
371,Greene,2.138581952117864,1,25,1799.4028545119704,1837,37.59714548802958
431,Harrison,1.8957080371787862,1,25,1496.6614953526514,1521,24.3385046473486
801,Ringgold,1.8738428417653392,2,50,530.648869752422,535,4.3511302475779985
121,Butler,1.5895710681244744,1,25,924.0706476030277,933,8.929352396972263
591,Lucas,1.4886415787058283,2,50,508.8772372648004,510,1.1227627351996148
021,Adams,1.4599668691330758,2,50,639.4654886802872,651,11.534511319712806
871,Taylor,1.0804362644853442,2,50,618.8738922972052,616,-2.8738922972052023
931,Wayne,0.9736680955296999,2,50,505.09032455603193,527,21.90967544396807
281,Delaware,0.7566921061624331,1,25,990.4517598815354,1010,19.548240118464605
891,Van Buren,0.6012981632371218,2,50,601.2122634995168,608,6.78773650048322
301,Dickinson,0.5719844357976652,1,25,1659.422178988327,1686,26.577821011672995
201,Clarke,0.4108880149037466,1,25,761.6220244255846,743,-18.62202442558464
261,Davis,0,2,50,669.2927814786501,686,16.707218521349887
