court_number,court_name,adj_total,american_indian_alaskan_native,asian,black_african_american,hispanic_latino_spanish_origins,multi_race,native_hawaiian_pacific_islander,not_provided,other,unknown,white,hlso_ethnicity,total,jp_white,jp_black,jp_hisp,jp_hlso_ethnicity,jp_asian,jp_aian,jp_mr,jp_nhpi,jp_other,jp_unk
741,Palo Alto County District Court,1652,2,7,14,1,16,0,141,13,4,1595,42,1793,96.55,0.85,0.06,2.54,0.42,0.12,0.97,0.00,0.79,0.24
751,Plymouth County District Court,2769,8,21,27,6,30,10,276,56,2,2609,129,3045,94.22,0.98,0.22,4.66,0.76,0.29,1.08,0.36,2.02,0.07
761,Pocahontas County District Court,765,2,2,3,3,4,4,60,13,0,734,24,825,95.95,0.39,0.39,3.14,0.26,0.26,0.52,0.52,1.70,0.00
771,Polk County District Court,19037,55,905,1251,49,355,25,1596,606,68,15723,1323,20633,82.59,6.57,0.26,6.95,4.75,0.29,1.86,0.13,3.18,0.36
781,Pottawattamie County District Court,11686,41,82,176,59,189,15,991,324,39,10761,612,12677,92.08,1.51,0.50,5.24,0.70,0.35,1.62,0.13,2.77,0.33
791,Poweshiek County District Court,1492,3,17,10,0,16,0,128,30,2,1414,44,1620,94.77,0.67,0.00,2.95,1.14,0.20,1.07,0.00,2.01,0.13
801,Ringgold County District Court,544,0,2,0,0,2,2,26,7,0,531,4,570,97.61,0.00,0.00,0.74,0.37,0.00,0.37,0.37,1.29,0.00
811,Sac County District Court,745,0,8,2,0,6,1,80,9,1,718,22,825,96.38,0.27,0.00,2.95,1.07,0.00,0.81,0.13,1.21,0.13
821,Scott County District Court,21066,97,633,1704,86,515,23,1833,456,71,17481,1179,22899,82.98,8.09,0.41,5.60,3.00,0.46,2.44,0.11,2.16,0.34
831,Shelby County District Court,1182,1,1,5,1,9,0,88,17,3,1145,39,1270,96.87,0.42,0.08,3.30,0.08,0.08,0.76,0.00,1.44,0.25
841,Sioux County District Court,2335,4,20,11,11,11,1,185,77,3,2197,157,2520,94.09,0.47,0.47,6.72,0.86,0.17,0.47,0.04,3.30,0.13
851,Story County District Court,8614,17,421,186,17,133,10,837,131,29,7670,297,9451,89.04,2.16,0.20,3.45,4.89,0.20,1.54,0.12,1.52,0.34
861,Tama County District Court,1675,110,6,11,20,18,4,260,30,3,1473,67,1935,87.94,0.66,1.19,4.00,0.36,6.57,1.07,0.24,1.79,0.18
871,Taylor County District Court,634,1,3,4,8,4,1,36,9,5,599,18,670,94.48,0.63,1.26,2.84,0.47,0.16,0.63,0.16,1.42,0.79
