court_number,court_name,result_status,white,black_african_american,hlso_race,hlso_ethnicity,asian,american_indian_alaskan_native,mr_bw,mr_ow,mr_aw,mr_unk,unknown,other
491,Jackson County District Court,Alternate,1,0,0,0,0,0,0,0,0,0,0,0
491,Jackson County District Court,Peremptory Strike (Plaintiff/Petitioner),7,0,0,0,0,0,0,0,0,0,0,0
501,Jasper County District Court,Court,6,0,0,0,0,0,0,0,0,0,0,0
501,Jasper County District Court,Challenged For Cause (Plaintiff/Petitioner),1,0,0,0,0,0,0,0,0,0,0,0
501,Jasper County District Court,Juror,50,0,0,0,0,0,1,0,0,0,0,1
501,Jasper County District Court,Peremptory Strike (Defendant/Respondent),22,0,0,1,0,0,0,0,0,0,0,0
501,Jasper County District Court,No Result,31,0,0,1,1,0,0,0,1,0,0,0
501,Jasper County District Court,Peremptory Strike (Plaintiff/Petitioner),21,0,0,0,0,0,0,0,0,0,0,1
501,Jasper County District Court,Not Used,55,0,0,3,1,0,0,1,0,0,0,0
511,Jefferson County District Court,Challenged For Cause (Plaintiff/Petitioner),12,0,0,1,0,0,0,0,0,0,0,0
511,Jefferson County District Court,Not Used,35,0,0,0,0,0,0,0,0,0,0,0
511,Jefferson County District Court,Alternate,3,0,0,0,0,0,0,0,0,0,0,0
511,Jefferson County District Court,Peremptory Strike (Defendant/Respondent),19,0,0,0,0,0,0,0,0,0,0,0
511,Jefferson County District Court,Juror,35,0,0,1,0,0,0,1,0,0,0,0
511,Jefferson County District Court,Peremptory Strike (Plaintiff/Petitioner),19,0,0,1,0,0,0,0,0,0,0,0
521,Johnson County District Court,Challenged For Cause (Defendant/Respondent),10,0,0,0,0,0,0,0,0,0,0,0
521,Johnson County District Court,Peremptory Strike (Defendant/Respondent),70,3,0,6,3,0,0,1,0,0,2,1
521,Johnson County District Court,Peremptory Strike (Plaintiff/Petitioner),63,4,0,5,6,0,1,0,1,0,0,2
521,Johnson County District Court,Not Used,219,14,1,14,6,0,2,0,2,0,0,6
521,Johnson County District Court,No Result,322,16,0,20,9,0,2,0,2,0,1,8
521,Johnson County District Court,Challenged For Cause (Plaintiff/Petitioner),13,0,0,1,0,0,0,0,0,0,1,0
521,Johnson County District Court,Court,51,4,0,1,2,0,0,0,0,0,0,0
521,Johnson County District Court,Juror,164,14,0,10,7,0,0,1,0,0,2,5
531,Jones County District Court,Peremptory Strike (Plaintiff/Petitioner),13,0,0,2,0,0,0,0,0,0,0,1
531,Jones County District Court,Challenged For Cause (Defendant/Respondent),5,0,0,0,0,0,0,0,0,0,0,0
531,Jones County District Court,Juror,27,0,0,0,0,0,0,0,0,0,0,0
531,Jones County District Court,Not Used,30,0,0,0,0,0,0,0,0,0,0,0
531,Jones County District Court,Challenged For Cause (Plaintiff/Petitioner),4,0,0,0,0,0,0,0,0,0,0,0
531,Jones County District Court,Peremptory Strike (Defendant/Respondent),13,0,0,0,0,0,0,0,0,0,0,0
541,Keokuk County District Court,Juror,12,0,0,0,0,0,0,0,0,0,0,0
541,Keokuk County District Court,Alternate,1,0,0,0,0,0,0,0,0,0,0,0
541,Keokuk County District Court,Peremptory Strike (Plaintiff/Petitioner),7,0,0,0,0,0,0,0,0,0,0,0
541,Keokuk County District Court,Peremptory Strike (Defendant/Respondent),7,0,0,0,0,0,0,0,0,0,0,0
541,Keokuk County District Court,Not Used,27,0,0,0,0,0,0,0,0,0,0,0
551,Kossuth County District Court,Peremptory Strike (Plaintiff/Petitioner),11,0,0,1,0,0,0,0,0,0,0,0
551,Kossuth County District Court,Peremptory Strike (Defendant/Respondent),12,0,0,0,0,0,0,0,0,0,0,0
551,Kossuth County District Court,Juror,24,2,0,0,0,0,0,0,0,0,0,0
551,Kossuth County District Court,Not Used,26,0,0,0,0,0,0,0,0,0,0,0
551,Kossuth County District Court,Court,22,0,0,0,0,0,0,0,0,0,1,0
561,Lee County District Court,Peremptory Strike (Defendant/Respondent),6,1,0,0,0,0,0,0,0,0,0,0
561,Lee County District Court,Juror,11,0,0,0,1,0,0,0,0,0,0,0
561,Lee County District Court,Not Used,12,1,0,0,0,0,1,0,0,0,0,0
561,Lee County District Court,Alternate,2,0,0,0,0,0,0,0,0,0,0,0
561,Lee County District Court,Peremptory Strike (Plaintiff/Petitioner),7,0,0,1,0,0,0,0,0,0,0,0
562,Lee County District Court,Juror,12,0,0,0,0,0,0,0,0,0,0,0
562,Lee County District Court,Peremptory Strike (Defendant/Respondent),7,0,0,0,0,0,0,0,0,0,0,0
562,Lee County District Court,No Result,79,0,0,3,0,0,0,0,0,0,1,0
562,Lee County District Court,Not Used,13,1,0,0,0,0,0,0,0,0,0,0
562,Lee County District Court,Alternate,1,0,0,0,0,0,0,0,0,0,0,0
562,Lee County District Court,Peremptory Strike (Plaintiff/Petitioner),6,1,0,0,0,0,0,0,0,0,0,0
571,Linn County District Court,Challenged For Cause (Plaintiff/Petitioner),39,1,0,1,0,0,1,0,0,0,1,0
571,Linn County District Court,Peremptory Strike (Defendant/Respondent),301,6,0,13,2,0,1,1,0,0,0,3
571,Linn County District Court,Juror,601,23,0,21,5,0,5,0,0,0,2,4
571,Linn County District Court,Challenged For Cause (Defendant/Respondent),30,0,0,0,0,0,0,0,0,0,0,0
571,Linn County District Court,Peremptory Strike (Plaintiff/Petitioner),278,13,0,10,8,0,0,1,1,0,1,11
571,Linn County District Court,No Result,318,19,0,8,2,0,3,0,0,0,0,7
571,Linn County District Court,Not Used,925,47,0,30,10,0,2,0,2,0,1,13
571,Linn County District Court,Court,229,9,0,7,8,0,1,0,0,0,0,3
581,Louisa County District Court,Not Used,81,0,0,4,0,0,0,0,0,0,0,3
581,Louisa County District Court,Peremptory Strike (Defendant/Respondent),24,0,0,2,0,0,0,0,0,0,0,0
581,Louisa County District Court,Alternate,5,0,0,0,0,0,0,0,0,0,0,0
581,Louisa County District Court,Peremptory Strike (Plaintiff/Petitioner),25,0,0,2,0,0,0,0,0,0,0,1
581,Louisa County District Court,Court,12,0,0,3,0,0,0,0,0,0,0,2
581,Louisa County District Court,Juror,46,1,0,2,0,0,0,0,0,0,0,1
591,Lucas County District Court,Juror,37,1,0,0,0,0,0,0,0,0,0,0
591,Lucas County District Court,Not Used,55,1,0,0,0,0,1,0,0,0,0,0
591,Lucas County District Court,Court,4,0,0,0,0,0,0,0,0,0,0,0
591,Lucas County District Court,Peremptory Strike (Defendant/Respondent),9,0,0,0,0,0,0,0,0,0,0,0
591,Lucas County District Court,Peremptory Strike (Plaintiff/Petitioner),8,0,0,0,0,0,0,0,0,0,0,0
601,Lyon County District Court,Peremptory Strike (Plaintiff/Petitioner),14,0,0,0,0,0,0,0,0,0,0,0
601,Lyon County District Court,Challenged For Cause (Defendant/Respondent),0,0,0,0,0,0,0,0,0,0,0,0
601,Lyon County District Court,Juror,24,0,0,1,0,0,0,0,0,0,0,0
601,Lyon County District Court,Challenged For Cause (Plaintiff/Petitioner),4,0,0,0,0,0,0,0,0,0,0,0
601,Lyon County District Court,Peremptory Strike (Defendant/Respondent),14,0,0,0,0,0,0,0,0,0,0,0
601,Lyon County District Court,Alternate,1,0,0,1,0,0,0,0,0,0,0,1
601,Lyon County District Court,Not Used,55,0,0,1,0,0,0,0,0,0,0,0
611,Madison County District Court,Juror,78,0,0,1,1,0,0,0,1,0,0,0
611,Madison County District Court,Not Used,278,1,0,3,0,0,0,0,0,0,1,2
611,Madison County District Court,No Result,1,0,0,0,0,0,0,0,0,0,0,0
621,Mahaska County District Court,Challenged For Cause (Defendant/Respondent),2,0,0,0,0,0,0,0,0,0,0,0
621,Mahaska County District Court,Not Used,114,1,0,2,1,0,1,0,2,0,0,1
621,Mahaska County District Court,Challenged For Cause (Plaintiff/Petitioner),14,0,0,0,0,0,0,0,0,0,0,0
621,Mahaska County District Court,Peremptory Strike (Defendant/Respondent),32,0,0,0,0,0,0,0,0,0,0,0
621,Mahaska County District Court,Juror,60,1,0,0,0,0,0,0,0,0,0,1
621,Mahaska County District Court,Peremptory Strike (Plaintiff/Petitioner),30,0,0,1,2,0,0,0,0,0,0,0
621,Mahaska County District Court,Alternate,6,0,0,0,0,0,0,0,0,0,0,0
621,Mahaska County District Court,Court,10,0,0,0,0,0,0,0,0,0,0,0
631,Marion County District Court,Juror,25,0,0,0,0,0,0,0,0,0,0,0
631,Marion County District Court,Peremptory Strike (Plaintiff/Petitioner),4,0,0,0,0,0,0,0,0,0,0,0
631,Marion County District Court,Not Used,36,1,0,0,0,0,0,0,0,0,0,1
631,Marion County District Court,Peremptory Strike (Defendant/Respondent),4,0,0,0,0,0,0,0,0,0,0,0
641,Marshall County District Court,Juror,201,1,0,18,4,0,1,0,0,0,0,10
641,Marshall County District Court,Not Used,608,4,0,97,8,0,2,2,1,0,2,34
641,Marshall County District Court,No Result,217,2,0,36,4,0,1,0,0,0,1,13
641,Marshall County District Court,Alternate,18,0,0,1,1,0,0,0,0,0,0,1
641,Marshall County District Court,Peremptory Strike (Defendant/Respondent),77,1,0,10,1,0,0,1,0,0,1,3
641,Marshall County District Court,Peremptory Strike (Plaintiff/Petitioner),80,0,0,14,0,0,0,0,0,0,0,2
