court_number,county_name,chi_square,p_value,test_status,minimum_expected,number_below_5,percent_below_5,expected_total,observed_total,totals_difference,significant_unadjusted,p_value_adjusted_bh,significant_after_adjustment,assumption_flag
291,Des Moines,154.69894825537668,4.997501249375312e-4,Monte Carlo test completed,66.39862810819237,0,0,4084.919998960688,4193,108.08000103931181,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
301,Dickinson,71.94622154066047,4.997501249375312e-4,Monte Carlo test completed,0.5719844357976652,1,25,1659.422178988327,1686,26.577821011672995,TRUE,5.559018243687145e-4,TRUE,Expected count below 1
311,Dubuque,336.2625329214316,4.997501249375312e-4,Monte Carlo test completed,194.83035443804908,0,0,8499.662829445622,8621,121.33717055437774,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
321,Emmet,150.83953092633516,4.997501249375312e-4,Monte Carlo test completed,4.5294752753185055,1,25,1276.60429712805,1263,-13.604297128049893,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
331,Fayette,46.39889989099371,4.997501249375312e-4,Monte Carlo test completed,10.010680215678143,0,0,1213.5823309829946,1239,25.417669017005437,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
341,Floyd,51.66522741757922,4.997501249375312e-4,Monte Carlo test completed,16.849164926931106,0,0,1171.0568893528182,1196,24.94311064718181,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
351,Franklin,209.55520057632265,4.997501249375312e-4,Monte Carlo test completed,7.527621534752912,0,0,1130.4171353957413,1111,-19.417135395741298,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
361,Fremont,85.52181053872616,4.997501249375312e-4,Monte Carlo test completed,4.048203868590727,1,25,1680.8142462388703,1723,42.18575376112972,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
371,Greene,70.13420573272184,4.997501249375312e-4,Monte Carlo test completed,2.138581952117864,1,25,1799.4028545119704,1837,37.59714548802958,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
381,Grundy,25.1865487643401,4.997501249375312e-4,Monte Carlo test completed,6.35812338501292,0,0,1088.5823643410852,1094,5.417635658914833,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
391,Guthrie,30.734446009450853,4.997501249375312e-4,Monte Carlo test completed,5.815868263473054,0,0,1004.4973802395209,1011,6.502619760479092,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
401,Hamilton,89.76952010892197,4.997501249375312e-4,Monte Carlo test completed,7.400241837968562,0,0,746.8591293833132,738,-8.859129383313189,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
411,Hancock,64.31044190843524,4.997501249375312e-4,Monte Carlo test completed,4.412707337644081,1,25,960.2235029519258,957,-3.2235029519257523,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
421,Hardin,42.91737899290512,4.997501249375312e-4,Monte Carlo test completed,8.026924694993689,0,0,730.2717711400924,723,-7.271771140092369,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
431,Harrison,45.706041327928084,4.997501249375312e-4,Monte Carlo test completed,1.8957080371787862,1,25,1496.6614953526514,1521,24.3385046473486,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
441,Henry,45.61736387041459,4.997501249375312e-4,Monte Carlo test completed,14.211757648470307,0,0,857.2639472105578,868,10.73605278944217,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
451,Howard,38.097657971978954,4.997501249375312e-4,Monte Carlo test completed,5.791635786130228,0,0,989.6189518263632,1000,10.381048173636827,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
461,Humboldt,67.49309032492513,4.997501249375312e-4,Monte Carlo test completed,3.1129183609634032,1,25,917.7272442915232,908,-9.72724429152322,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
471,Ida,52.77714063813133,4.997501249375312e-4,Monte Carlo test completed,3.361308059615107,1,25,980.7712342642166,990,9.22876573578344,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
481,Iowa,54.35692261582356,4.997501249375312e-4,Monte Carlo test completed,4.838311019567456,2,50,1428.4665293511844,1446,17.533470648815637,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
491,Jackson,39.49641150883347,4.997501249375312e-4,Monte Carlo test completed,14.511346054667353,0,0,2179.9524497163484,2222,42.04755028365162,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
501,Jasper,79.9348674368277,4.997501249375312e-4,Monte Carlo test completed,22.239395057174473,0,0,2152.2792327554407,2186,33.72076724455928,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
511,Jefferson,82.6311582510746,4.997501249375312e-4,Monte Carlo test completed,18.85119388729704,0,0,727.2119707099649,723,-4.21197070996493,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
521,Johnson,449.04128387908435,4.997501249375312e-4,Monte Carlo test completed,355.4523394556911,0,0,5784.673235911873,5781,-3.6732359118732347,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
531,Jones,76.4772189096637,4.997501249375312e-4,Monte Carlo test completed,10.915246937212864,0,0,1530.2423430321596,1540,9.757656967840376,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
541,Keokuk,35.492340683250035,4.997501249375312e-4,Monte Carlo test completed,3.7045546150745667,2,50,1378.5217654171709,1395,16.478234582829145,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
551,Kossuth,73.44334636437773,4.997501249375312e-4,Monte Carlo test completed,9.601405345825297,0,0,1562.7114907688067,1570,7.288509231193302,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
561,Lee,59.0969721344298,4.997501249375312e-4,Monte Carlo test completed,10.931565986684099,0,0,1446.8222418143678,1452,5.177758185632229,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
562,Lee,56.11813842163247,4.997501249375312e-4,Monte Carlo test completed,11.378499984799197,0,0,1505.9751618885475,1512,6.024838111452482,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
571,Linn,768.9195739174221,4.997501249375312e-4,Monte Carlo test completed,466.55077303003424,0,0,16825.525816942314,17078,252.47418305768588,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
581,Louisa,150.8602301619602,4.997501249375312e-4,Monte Carlo test completed,9.67315976774677,0,0,912.970406443154,880,-32.97040644315405,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
601,Lyon,57.428713294384096,4.997501249375312e-4,Monte Carlo test completed,4.928630159513238,1,25,1369.8153264265745,1367,-2.8153264265745293,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
611,Madison,41.42650274156394,4.997501249375312e-4,Monte Carlo test completed,8.655323171452203,0,0,1435.4853479853477,1448,12.514652014652256,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
621,Mahaska,57.65884064195741,4.997501249375312e-4,Monte Carlo test completed,21.954043867217656,0,0,1597.1754234594252,1621,23.824576540574753,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
631,Marion,44.56680411858953,4.997501249375312e-4,Monte Carlo test completed,7.083110397717139,0,0,1647.300398311634,1658,10.699601688366101,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
641,Marshall,1169.3486696477405,4.997501249375312e-4,Monte Carlo test completed,106.03500024928954,0,0,5059.568130827143,4768,-291.56813082714325,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
651,Mills,87.52696766148041,4.997501249375312e-4,Monte Carlo test completed,8.233594179022514,0,0,1984.854406919275,1986,1.1455930807248933,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
661,Mitchell,24.03168994238161,4.997501249375312e-4,Monte Carlo test completed,3.008983451536643,1,25,850.0784869976359,850,-0.07848699763587774,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
671,Monona,148.05950742449693,4.997501249375312e-4,Monte Carlo test completed,4.761014374196565,1,25,1867.6779245062523,1910,42.32207549374766,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
701,Muscatine,2190.1283375147495,4.997501249375312e-4,Monte Carlo test completed,114.84856317112715,0,0,11619.69078220823,10979,-640.6907822082303,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
711,O'Brien,157.42874232451354,4.997501249375312e-4,Monte Carlo test completed,20.15892680164236,0,0,1642.6543253574966,1631,-11.654325357496646,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
721,Osceola,169.59698497444825,4.997501249375312e-4,Monte Carlo test completed,6.517868852459016,0,0,1326.49868852459,1328,1.5013114754099206,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
731,Page,81.20334604627733,4.997501249375312e-4,Monte Carlo test completed,21.29297468772718,0,0,1690.7084792809464,1706,15.291520719053551,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
741,Palo Alto,68.84863907312668,4.997501249375312e-4,Monte Carlo test completed,14.538643800067696,0,0,1607.0793185151751,1619,11.920681484824854,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
751,Plymouth,203.57366605233437,4.997501249375312e-4,Monte Carlo test completed,38.394104167475824,0,0,2719.743698294947,2681,-38.74369829494708,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
761,Pocahontas,48.05405734016963,4.997501249375312e-4,Monte Carlo test completed,9.120068123758161,0,0,741.4398240136248,748,6.560175986375157,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
771,Polk,2167.133846565703,4.997501249375312e-4,Monte Carlo test completed,1015.949840512744,0,0,18337.30252297908,18008,-329.3025229790801,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
781,Pottawattamie,1059.6902041564326,4.997501249375312e-4,Monte Carlo test completed,155.73161072101388,0,0,11330.131379517039,11134,-196.13137951703902,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
791,Poweshiek,65.38270095619447,4.997501249375312e-4,Monte Carlo test completed,15.527419789700728,0,0,1443.2455109193852,1444,0.7544890806148032,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
811,Sac,35.5883681847361,4.997501249375312e-4,Monte Carlo test completed,3.7676746826297864,1,25,727.2381050676023,729,1.761894932397695,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
821,Scott,1517.9829076413432,4.997501249375312e-4,Monte Carlo test completed,653.5469279758086,0,0,19959.180816457432,20024,64.81918354256777,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
831,Shelby,66.34858058107511,4.997501249375312e-4,Monte Carlo test completed,3.7131940906775345,1,25,1150.3876719307184,1153,2.6123280692816024,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
841,Sioux,358.0360956631359,4.997501249375312e-4,Monte Carlo test completed,13.799016900474982,0,0,2303.404120181155,2244,-59.40412018115512,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
851,Story,536.3795207387038,4.997501249375312e-4,Monte Carlo test completed,239.73029681683363,0,0,8278.840582883762,8321,42.15941711623782,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
861,Tama,183.6646462857079,4.997501249375312e-4,Monte Carlo test completed,20.555193265354518,0,0,1643.0252549205595,1624,-19.02525492055952,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
871,Taylor,48.50477320614368,4.997501249375312e-4,Monte Carlo test completed,1.0804362644853442,2,50,618.8738922972052,616,-2.8738922972052023,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
881,Union,36.87561549817412,4.997501249375312e-4,Monte Carlo test completed,7.680313516217794,0,0,742.5981822729925,739,-3.598182272992517,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
891,Van Buren,102.08930175388672,4.997501249375312e-4,Monte Carlo test completed,0.6012981632371218,2,50,601.2122634995168,608,6.78773650048322,TRUE,5.559018243687145e-4,TRUE,Expected count below 1
901,Wapello,482.5138351446302,4.997501249375312e-4,Monte Carlo test completed,95.89106950964312,0,0,3071.746507550478,2976,-95.74650755047787,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
911,Warren,79.73920888188368,4.997501249375312e-4,Monte Carlo test completed,14.842581190611847,0,0,1942.7656086309248,1953,10.234391369075183,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
921,Washington,132.20176374263102,4.997501249375312e-4,Monte Carlo test completed,6.492398386596339,0,0,1541.8399007136209,1515,-26.839900713620864,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
941,Webster,268.9849807320759,4.997501249375312e-4,Monte Carlo test completed,61.46952773409966,0,0,3919.212302770699,3969,49.7876972293011,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
951,Winnebago,65.24823384073747,4.997501249375312e-4,Monte Carlo test completed,15.797410942076912,0,0,1017.3727676462252,1000,-17.372767646225157,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
961,Winneshiek,42.9008228086111,4.997501249375312e-4,Monte Carlo test completed,5.363860514265586,0,0,1285.1412469179288,1302,16.85875308207119,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
971,Woodbury,2240.925802010241,4.997501249375312e-4,Monte Carlo test completed,522.3273410072754,0,0,10275.055888636854,9865,-410.05588863685443,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
981,Worth,43.74402142266701,4.997501249375312e-4,Monte Carlo test completed,6.713333333333333,0,0,915.4200000000001,915,-0.42000000000007276,TRUE,5.559018243687145e-4,TRUE,Expected-count guideline satisfied
991,Wright,177.78688800456027,4.997501249375312e-4,Monte Carlo test completed,3.4893284340551953,1,25,772.3254632163239,753,-19.325463216323897,TRUE,5.559018243687145e-4,TRUE,More than 20% below 5
041,Appanoose,20.281178322209996,9.995002498750624e-4,Monte Carlo test completed,6.861457649376232,0,0,815.5528562048586,829,13.447143795141415,TRUE,0.0010755491819307737,TRUE,Expected-count guideline satisfied
051,Audubon,21.958558933854178,9.995002498750624e-4,Monte Carlo test completed,4.7065547419181994,2,50,949.8524736560103,966,16.14752634398974,TRUE,0.0010755491819307737,TRUE,More than 20% below 5
271,Decatur,21.00721131823473,9.995002498750624e-4,Monte Carlo test completed,4.854749323366414,1,25,495.18443098337406,507,11.815569016625943,TRUE,0.0010755491819307737,TRUE,More than 20% below 5
131,Calhoun,18.231385324806244,0.0014992503748125937,Monte Carlo test completed,2.311435274915842,1,25,558.1227175354483,569,10.87728246455174,TRUE,0.00156237670638365,TRUE,More than 20% below 5
681,Monroe,21.489690738560277,0.0014992503748125937,Monte Carlo test completed,4.611074138160522,1,25,697.871955277519,702,4.128044722481036,TRUE,0.00156237670638365,TRUE,More than 20% below 5
691,Montgomery,20.698404717135652,0.0014992503748125937,Monte Carlo test completed,11.656941452907773,0,0,1394.5682396710395,1422,27.431760328960536,TRUE,0.00156237670638365,TRUE,Expected-count guideline satisfied
021,Adams,18.179895230540687,0.0034982508745627187,Monte Carlo test completed,1.4599668691330758,2,50,639.4654886802872,651,11.534511319712806,TRUE,0.003607571214392804,TRUE,More than 20% below 5
801,Ringgold,16.560472624708012,0.004997501249375313,Monte Carlo test completed,1.8738428417653392,2,50,530.648869752422,535,4.3511302475779985,TRUE,0.00510054251224903,TRUE,More than 20% below 5
931,Wayne,14.171087366141197,0.0069965017491254375,Monte Carlo test completed,0.9736680955296999,2,50,505.09032455603193,527,21.90967544396807,TRUE,0.007067894624116513,TRUE,Expected count below 1
591,Lucas,14.827978078603712,0.00849575212393803,Monte Carlo test completed,1.4886415787058283,2,50,508.8772372648004,510,1.1227627351996148,TRUE,0.00849575212393803,TRUE,More than 20% below 5
261,Davis,NA,NA,Not tested: zero expected or observed total,0,2,50,669.2927814786501,686,16.707218521349887,NA,NA,NA,Expected count below 1
