court_number,court_name,adj_total,cp_white,cp_black,cp_hisp,cp_asian,cp_aian,cp_mr,cp_nhpi,cp_other,cp_unk
421,Hardin County District Court,137,99.27,0.00,0.00,0.00,0.73,0.00,0.00,0.00,0.00
431,Harrison County District Court,136,99.26,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.00
441,Henry County District Court,28,92.86,0.00,0.00,0.00,0.00,3.57,0.00,3.57,0.00
451,Howard County District Court,55,96.36,1.82,0.00,0.00,0.00,0.00,0.00,1.82,0.00
491,Jackson County District Court,60,96.67,0.00,0.00,0.00,0.00,0.00,1.67,0.00,1.67
501,Jasper County District Court,194,95.88,0.00,0.00,1.03,0.52,1.55,0.00,1.03,0.00
511,Jefferson County District Court,126,97.62,0.00,0.00,0.00,0.00,2.38,0.00,0.00,0.00
521,Johnson County District Court,1050,86.86,5.24,0.10,3.14,0.19,1.62,0.19,2.10,0.57
531,Jones County District Court,94,97.87,0.00,0.00,0.00,0.00,1.06,0.00,1.06,0.00
541,Keokuk County District Court,54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
551,Kossuth County District Court,99,95.96,2.02,0.00,0.00,0.00,1.01,0.00,0.00,1.01
561,Lee County District Court,42,90.48,4.76,0.00,2.38,0.00,2.38,0.00,0.00,0.00
562,Lee County District Court,121,97.52,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.83
571,Linn County District Court,2980,91.31,3.96,0.00,1.17,0.40,1.51,0.10,1.38,0.17
581,Louisa County District Court,205,94.15,0.49,0.00,0.00,0.00,1.46,0.49,3.41,0.00
591,Lucas County District Court,117,96.58,1.71,0.00,0.00,0.00,1.71,0.00,0.00,0.00
601,Lyon County District Court,115,97.39,0.00,0.00,0.00,0.00,1.74,0.00,0.87,0.00
611,Madison County District Court,365,97.81,0.27,0.00,0.27,0.27,0.55,0.00,0.55,0.27
621,Mahaska County District Court,279,96.06,0.72,0.00,1.08,0.00,1.43,0.00,0.72,0.00
631,Marion County District Court,71,97.18,1.41,0.00,0.00,0.00,0.00,0.00,1.41,0.00
641,Marshall County District Court,1315,91.33,0.61,0.00,1.37,0.61,0.76,0.23,4.79,0.30
651,Mills County District Court,174,95.98,0.00,0.00,1.15,0.00,1.15,0.00,1.72,0.00
661,Mitchell County District Court,133,99.25,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00
671,Monona County District Court,83,96.39,0.00,0.00,0.00,2.41,0.00,0.00,1.20,0.00
681,Monroe County District Court,45,97.78,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00
701,Muscatine County District Court,1320,90.98,1.06,0.00,0.98,0.15,1.67,0.00,4.92,0.23
711,O'Brien County District Court,42,95.24,0.00,0.00,2.38,0.00,2.38,0.00,0.00,0.00
731,Page County District Court,81,98.77,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00
741,Palo Alto County District Court,119,98.32,0.00,0.00,0.84,0.00,0.84,0.00,0.00,0.00
751,Plymouth County District Court,285,95.44,0.35,0.00,0.70,0.35,1.05,0.70,1.40,0.00
771,Polk County District Court,4032,87.30,4.69,0.00,3.20,0.25,1.96,0.10,2.18,0.32
