court_number,court_name,adj_total,jp_white,jp_black,jp_hisp,jp_asian,jp_aian,jp_mr,jp_nhpi,jp_other,jp_unk
871,Taylor County District Court,634,94.48,0.63,1.26,0.47,0.16,0.63,0.16,1.42,0.79
881,Union County District Court,755,96.03,0.53,0.00,0.93,0.40,1.06,0.00,0.79,0.26
891,Van Buren County District Court,622,96.30,0.16,0.00,0.96,0.32,0.80,0.00,1.13,0.32
901,Wapello County District Court,3175,87.65,2.58,0.66,1.32,0.57,0.88,0.94,5.01,0.38
911,Warren County District Court,1994,95.54,0.65,0.10,1.15,0.25,0.90,0.25,1.10,0.05
921,Washington County District Court,1575,94.22,1.14,0.06,0.44,0.32,0.89,0.00,2.60,0.32
931,Wayne County District Court,530,98.30,0.38,0.00,0.00,0.75,0.38,0.00,0.19,0.00
941,Webster County District Court,4115,91.62,3.11,0.36,0.87,0.41,1.53,0.07,1.68,0.34
951,Winnebago County District Court,1032,94.38,1.36,0.29,0.78,0.10,1.07,0.00,1.74,0.29
961,Winneshiek County District Court,1316,97.72,0.30,0.00,0.76,0.00,0.68,0.15,0.38,0.00
971,Woodbury County District Court,10699,82.85,3.38,1.63,2.63,1.42,2.14,0.30,5.27,0.38
981,Worth County District Court,931,97.96,0.21,0.00,0.00,0.11,0.97,0.00,0.54,0.21
991,Wright County District Court,797,91.84,0.63,0.88,0.75,0.38,1.00,0.00,4.02,0.50
Sum,,274237,90.18,3.17,0.48,1.76,0.37,1.36,0.15,2.23,0.29
