County,White (Not Hispanic) - Estimate,White (Not Hispanic) - Margin of Error,Black - Estimate,Black - Margin of Error,American Indian - Estimate,American Indian - Margin of Error,Asian - Estimate,Asian - Margin of Error,Native Hawaiian - Estimate,Native Hawaiian - Margin of Error,Other - Estimate,Other - Margin of Error,Multi Race - Estimate,Multi Race - Margin of Error,Hispanic - Estimate,Hispanic - Margin of Error
Osceola,5126,48,29,40,65,53,35,19,0,15,126,102,619,157,647,*****
Page,13662,70,259,80,83,43,99,84,2,5,125,77,723,157,505,*****
Palo Alto,8088,93,145,30,21,22,57,32,0,15,124,46,399,121,311,*****
Plymouth,22664,69,615,64,110,52,135,25,112,81,531,269,1222,249,1653,*****
Pocahontas,6242,31,91,62,17,14,12,18,55,55,167,59,377,93,412,*****
Polk,368110,948,37401,1278,1562,557,25053,638,238,163,18722,1778,38930,2437,52317,*****
Pottawattamie,78988,308,1810,401,253,112,829,153,163,24,2083,444,6525,826,8536,*****
Poweshiek,16653,217,193,67,56,44,380,39,0,16,185,110,977,249,657,*****
Ringgold,4397,10,18,37,16,22,0,10,0,10,0,10,138,47,100,*****
Sac,8899,52,49,57,8,10,63,42,17,26,194,62,376,113,422,*****
Scott,134498,561,12617,675,332,102,4993,303,92,47,3477,730,14978,1053,12902,*****
Shelby,10751,91,37,51,101,60,56,85,0,16,212,64,518,148,518,*****
Sioux,29982,112,214,48,130,112,197,76,6,7,2483,650,2391,600,5193,*****
Story,81361,441,2796,264,465,214,6641,487,110,86,1819,365,5804,725,5184,*****
Tama,13220,34,207,75,1029,102,116,22,6,10,360,219,1691,257,1968,*****
Taylor,5215,36,10,10,18,28,9,16,0,15,319,87,219,53,476,*****
Union,11018,60,196,131,16,25,106,73,0,16,173,58,371,114,460,*****
Van Buren,6833,69,31,13,4,6,3,4,0,15,74,63,215,47,128,*****
Wapello,26750,115,1068,239,155,135,634,212,857,22,1508,367,3175,519,4748,*****
Warren,50017,216,405,110,154,126,407,111,8,13,329,154,2530,335,2020,*****
Washington,20008,70,236,93,2,4,87,64,4,8,714,212,1181,203,1749,*****
Wayne,6122,88,12,17,8,11,6,10,0,15,13,25,348,111,77,50
Webster,30940,163,1201,225,96,84,455,79,0,22,431,158,2918,396,2439,*****
Winnebago,9415,63,237,94,22,31,140,4,0,16,87,50,634,131,619,*****
Winneshiek,18533,87,81,50,73,77,107,45,1,3,136,65,897,200,612,*****
Woodbury,71279,382,5255,441,1899,286,2513,246,775,61,5061,720,15191,1034,20316,*****
Worth,6857,12,59,40,12,9,41,48,0,15,13,12,269,72,258,*****
